ems_no,county,company_name,address,process_id,process_name,category,expiry_date
F1302678,新北市,堅順股份有限公司,新北市土城區日新街四七之三號,M01,印刷電路板製造程序,操作,119/06/29
F1302865,新北市,燿華電子股份有限公司,新北市土城區沛陂里中山路六二號,M01,印刷電路板製造程序,操作,117/09/08
F1302963,新北市,立大化成工業股份有限公司,新北市土城區沛陂里民生街一五號,M02,原料藥製造程序,操作,115/05/24
F1303175,新北市,亞東預拌混凝土股份有限公司土城廠,新北市土城區大安里中華路二段二○八號,M01,混凝土拌合程序,操作,118/03/04
F1303175,新北市,亞東預拌混凝土股份有限公司土城廠,新北市土城區大安里中華路二段二○八號,M02,堆置場作業程序,操作,119/04/22
F1303193,新北市,集琳實業有限公司,新北市土城區日和里中央路一段三六五巷三二號,M01,印刷電路板製造程序,操作,116/11/08
F1303380,新北市,淂剴工業有限公司,新北市土城區埤塘里忠承路一一號,M01,其他金屬加工處理程序,操作,116/12/26
F1303540,新北市,清松塗料有限公司,新北市土城區員林里中央路一段三六五巷一八弄八號,M01,塗料製造程序,操作,119/10/31
F1303568,新北市,國泰塗料油墨股份有限公司,新北市土城區廷寮里永豐路一九五巷二四號,M01,塗料製造程序,操作,118/12/21
F1304109,新北市,益誠實業股份有限公司,新北市土城區頂埔里大暖路一一六號,M01,其他合成樹脂或塑膠製造程序,操作,115/12/28
F1304136,新北市,麗德精密工業股份有限公司自強二廠,新北市土城區沛陂里自強街二五號四樓、二五之一號四樓,M01,金屬電鍍處理程序,操作,119/05/03
F1304529,新北市,永豐紙業股份有限公司,新北市土城區日和里中央路一段三四一號一樓及三六五巷七號四、五、六樓,M01,平版印刷作業程序,操作,116/02/18
F1304556,新北市,力群電子股份有限公司,新北市土城區沛陂里福安街一二○號,M01,印刷電路板製造程序,操作,118/06/02
F1304789,新北市,燿華電子股份有限公司土城二廠,新北市土城區中山路四巷三號,M01,印刷電路板製造程序,操作,118/09/16
F1305017,新北市,國產建材實業股份有限公司土城廠,新北市土城區大安里中華路二段二○二號,M01,混凝土拌合程序,操作,116/03/23
F1305053,新北市,沈氏藝術印刷股份有限公司土城廠,新北市土城區日和里中央路一段三六五巷七號三樓,M01,平版印刷作業程序,操作,119/07/20
F1305339,新北市,沈氏藝術印刷股份有限公司二廠,新北市土城區日和里中央路一段三六五巷七號地下二層,M01,平版印刷作業程序,操作,115/05/21
F1305400,新北市,優美實業股份有限公司,新北市土城區頂埔里大暖路五一、五一之一號,M01,膠帶業製造,操作,116/10/21
F1306523,新北市,佐全興業股份有限公司,新北市土城區復興街九及九之一號,M01,塑膠品塗裝程序,操作,119/02/17
F1308321,新北市,上海印刷廠股份有限公司,新北市土城區大暖路七一號,M01,平版印刷作業程序,操作,117/02/29
F1309846,新北市,統一超食代股份有限公司台北廠,新北市土城區中興路一六號,M01,其他食品製造程序,操作,118/05/18
F1310143,新北市,弘榮工業股份有限公司,新北市土城區中華路一段一二○號,M01,ＰＵ皮製造程序,操作,115/03/15
F1310616,新北市,明輝化工實業有限公司,新北市土城區員仁里大安路一三八巷三二號,M01,有機溶劑作業程序,操作,118/06/19
F1312281,新北市,立可白實業有限公司土城廠,新北市土城區沛陂里中山路四巷二號,M02,織物乾洗作業程序,操作,119/01/28
F1390034,新北市,大興電線電纜股份有限公司,新北市土城區大安里承天路一七、二三號,M01,其他電線及電纜（含光纖電纜）製造程序,操作,117/06/30
F13A2421,新北市,正誠工業有限公司,新北市土城區永寧里員仁段八四三、八四四、八四五、八四六、八四七地號(公司通信處:新北市土城區大安路一○一之五號),M01,混凝土拌合程序,操作,115/08/23
F13A2441,新北市,瑋格國際有限公司,新北市土城區員仁里亞洲路一二巷七號,M01,油墨製造程序,操作,117/06/14
F13A2500,新北市,甫舜企業有限公司,新北市土城區廷寮里永豐路二七○巷二三號一樓,M01,印刷電路板製造程序,操作,116/03/19
F13A3489,新北市,唐威科技股份有限公司,新北市土城區沛陂里大同街一五號一樓,M01,印刷電路板製造程序,操作,118/12/21
F13A3815,新北市,統一多拿滋股份有限公司土城廠,新北市土城區沛陂里中興路二○號一、二、三樓,M01,其他食品製造程序,操作,119/10/02
F13A4190,新北市,合興預拌混凝土股份有限公司土城廠,新北市土城區員福里中華路一段一六二號,M01,混凝土拌合程序,操作,117/12/05
F13A4437,新北市,岳昇有限公司土城廠,新北市土城區民權街一一號四樓(含五樓),M01,金屬電鍍處理程序,操作,119/01/23
F13A4902,新北市,三龍產業股份有限公司,新北市土城區中山路五九號一、二、四樓、中山路五九號三樓(部分),M01,塑膠品塗裝程序,操作,114/12/20
F13A5871,新北市,昌展工業有限公司,新北市土城區沛陂里中山路五二之二號一樓,M02,印染整理程序,操作,115/05/24
F13A6532,新北市,庭凱工業股份有限公司二廠,新北市土城區大安里承天路四巷二之六號一、二樓,M01,金屬表面塗裝程序,操作,118/08/18
F13A6532,新北市,庭凱工業股份有限公司二廠,新北市土城區大安里承天路四巷二之六號一、二樓,M02,塗料製造程序,操作,116/09/15
F13A6780,新北市,龍伸科技有限公司,新北市土城區沛陂里復興街一四號,M01,印刷電路板製造程序,操作,115/09/05
F13A7817,新北市,芳琦企業股份有限公司,新北市土城區頂埔里大暖路八三號及八三號二樓,M01,ＰＵ皮製造程序,操作,117/03/26
F13B0650,新北市,歐立食品股份有限公司土城廠,新北市土城區沛陂里一五鄰中山路二一號及二、三、四樓,M01,其他食品製造程序,操作,115/03/30
F13B0690,新北市,薪味香食品股份有限公司,新北市土城區廷寮里永豐路一九五巷三五號,M01,其他食品製造程序,操作,119/01/07
F13B0759,新北市,味冠食品有限公司,新北市土城區廷寮里永豐路一九五巷七弄三號,M01,其他食品製造程序,操作,118/12/22
F13B1311,新北市,崇裕科技股份有限公司土城二廠,新北市土城區廷寮里永豐路二○三之一號三樓、四樓,M01,其他顏料製造程序,操作,115/05/17
F13B1925,新北市,德隆國際事業有限公司土城廠,新北市土城區大安里承天路七一巷二號(B、C棟),M01,其他食品製造程序,操作,119/09/05
F13B2111,新北市,元利塑膠有限公司,新北市土城區沛坡里自強街四號,M01,押出成型程序,操作,117/07/04
F13B3268,新北市,海睿企業有限公司,新北市土城區沛陂里勝利街一○巷八號三樓,M01,油漆化學製造程序,操作,116/12/27
F13B3763,新北市,嘉祥發企業有限公司土城廠,新北市土城區廷寮里永豐路一九五巷二七弄一三、一五號,M01,凹版印刷作業程序,操作,116/07/26
F13B3852,新北市,欣霆企業有限公司,新北市土城區沛陂里勝利街一○巷六號一樓,M01,油漆化學製造程序,操作,117/03/09
F13B3941,新北市,允順塑膠有限公司,新北市土城區永寧里永平街七號一、二樓,M01,凹版印刷作業程序,操作,117/03/14
F13B4197,新北市,豐展塑膠有限公司,新北市土城區永寧里永平街三二號一樓,M01,凹版印刷作業程序,操作,117/02/14
F13B4919,新北市,立大化成工業股份有限公司民生二廠,新北市土城區民生街五號、五之一號,M01,原料藥製造程序,設置,118/06/24
F13B5076,新北市,巨靈霸科技股份有限公司,新北市土城區廷寮里永豐路二○三之一號一樓,M01,塗料製造程序,操作,118/04/14
F13B5204,新北市,晉紳潛泳器材有限公司,新北市土城區大安里承天路四巷二之一七號,M01,其他橡膠製品製造程序,操作,117/04/27
F13B6856,新北市,漢來塑膠包裝有限公司中山廠,新北市土城區沛陂里中山路三八號一樓,M01,凹版印刷作業程序,設置,119/01/02
F0700385,新北市,華泰電線電纜有限公司,新北市樹林區武林街一四之三號,M01,押出成型程序,操作,115/08/16
F0700447,新北市,唯新工業股份有限公司,新北市樹林區金寮里武林街二之一號一樓,M01,其他橡膠製品製造程序,操作,118/08/05
F0700509,新北市,介明塑膠股份有限公司,新北市樹林區三龍街七號,M01,塑膠皮、板、管材製造程序,操作,115/05/10
F0700536,新北市,一天企業有限公司,新北市樹林區圳安里俊英街六三巷一○號,M01,油漆化學製造程序,操作,118/01/01
F0700670,新北市,正竹金屬工業股份有限公司,新北市樹林區圳生里俊興街二九六號,M01,鋼鑄造程序,操作,119/08/30
F0701293,新北市,南亞塑膠工業股份有限公司台染廠,新北市樹林區東山里味王街五七號(含味王街五五號),M01,熱媒加熱程序,操作,115/05/01
F0701293,新北市,南亞塑膠工業股份有限公司台染廠,新北市樹林區東山里味王街五七號(含味王街五五號),M02,印染整理程序,操作,117/11/10
F0701613,新北市,中化合成生技股份有限公司山佳工廠,新北市樹林區東山里東興街一號,M02,原料藥製造程序,操作,115/07/27
F0701613,新北市,中化合成生技股份有限公司山佳工廠,新北市樹林區東山里東興街一號,M03,鍋爐蒸氣產生程序,操作,116/02/13
F0701640,新北市,電光企業股份有限公司,新北市樹林區東山里中山路二段一三一號,M02,陶瓷製品濕式成型製造程序,操作,119/10/11
F0701702,新北市,南亞塑膠工業股份有限公司樹林廠,新北市樹林區東山里味王街五五號,M07,聚脲(PU)樹脂化學製造程序,操作,118/06/08
F0701702,新北市,南亞塑膠工業股份有限公司樹林廠,新北市樹林區東山里味王街五五號,M08,熱媒加熱程序,操作,118/10/02
F0701702,新北市,南亞塑膠工業股份有限公司樹林廠,新北市樹林區東山里味王街五五號,M09,環氧樹脂製造程序,操作,119/06/29
F0701702,新北市,南亞塑膠工業股份有限公司樹林廠,新北市樹林區東山里味王街五五號,M11,環氧樹脂製造程序,操作,118/03/31
F0701702,新北市,南亞塑膠工業股份有限公司樹林廠,新北市樹林區東山里味王街五五號,M15,醫療器材及用品製造程序,操作,118/11/05
F0701702,新北市,南亞塑膠工業股份有限公司樹林廠,新北市樹林區東山里味王街五五號,M21,其他電子零組件製造程序,操作,116/05/19
F0701702,新北市,南亞塑膠工業股份有限公司樹林廠,新北市樹林區東山里味王街五五號,M25,離型膜製造程序,操作,115/03/29
F0701702,新北市,南亞塑膠工業股份有限公司樹林廠,新北市樹林區東山里味王街五五號,M26,其他合成樹脂或塑膠製造程序,操作,116/12/12
F0701702,新北市,南亞塑膠工業股份有限公司樹林廠,新北市樹林區東山里味王街五五號,M27,再生及合成纖維紡織品製造程序,操作,118/09/24
