ems_no,county,company_name,address,process_id,process_name,category,permit_no,effective_date,expiry_date
F0709226,新北市,太甫實業有限公司,新北市樹林區金寮里樹潭街一○之六號,M01,M01 - 其他合成樹脂或塑膠製造程序,操作,新北市環操證字第F1794-04號,,116/10/17
F0709280,新北市,弘和泡綿興業有限公司樹林廠,新北市樹林區光興里光興街九一號,M01,M01 - 其他合成樹脂或塑膠製造程序,操作,新北市環操證字第F2220-00號,,118/09/15
F0709566,新北市,秦強達金屬工業有限公司,新北市樹林區圳生里三俊街一九九巷一○之一三號,M01,M01 - 金屬表面清洗程序,操作,新北市環操證字第F1429-05號,,116/06/27
F0709637,新北市,興磊營建剩餘土石方資源處理場,新北市樹林區北園段三一、三二、三三、四○、四三、四五、四六、六二、六三、六四、六五、六八、七一、七二地號,M01,M01 - 堆置場作業程序,操作,新北市環操證字第F1808-06號,,115/01/12
F0709977,新北市,晉利實業有限公司樹林廠,新北市樹林區潭底里大安路一四五巷八號一樓,M01,M01 - 塗料製造程序,操作,新北市環操證字第F2151-00號,,117/02/14
F0710201,新北市,樹林聯安營建廢棄物資源再利用處理場,新北市樹林區圳生段一七八、一七九、一八○、一八一及二一五號,M01,M01 - 堆置場作業程序,操作,新北市環操證字第F1516-10號,,116/12/10
F0712063,新北市,德資股份有限公司樹林廠,新北市樹林區獇寮里保安街二段四五巷二九號,M01,M01 - 印刷油墨化學原料製造程序,操作,新北市環操證字第F1871-04號,,117/12/09
F0712376,新北市,大于企業股份有限公司,新北市樹林區獇寮里保安街二段三三九號之一,M01,M01 - 其他電線及電纜（含光纖電纜）製造程序,操作,新北市環操證字第F1807-04號,,115/02/22
F0714996,新北市,銓鋁工業股份有限公司,新北市樹林區圳民里俊英街一一一巷一四號,M01,M01 - 鋁鑄造製造程序,操作,新北市環操證字第F1982-01號,,116/09/25
F0718976,新北市,帝盟科技股份有限公司,新北市樹林區圳生里三俊街一九九巷二九、二九之一號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1559-07號,,117/09/30
F0720047,新北市,台灣華洪企業股份有限公司,新北市樹林區金寮里樹潭街一○之一○號一樓,M02,M02 - 膠帶業製造,操作,新北市環操證字第F1628-06號,,117/04/22
F0720207,新北市,樹林彭福段彭厝小段營建剩餘土石方資源處理場,新北市樹林區彭福段彭厝小段一二九之五地號,M01,M01 - 堆置場作業程序,操作,新北市環操證字第F1788-05號,,115/03/12
F0720243,新北市,群鋒工業有限公司樹林廠,新北市樹林區圳生里俊安街二四巷一○弄一一號,M01,M01 - 金屬電鍍處理程序,操作,新北市環操證字第F2212-00號,,118/03/25
F0720369,新北市,泓洸企業有限公司,新北市樹林區圳生里三俊街二五二巷一○號,M01,M01 - 金屬電鍍處理程序,操作,新北市環操證字第F2207-00號,,118/02/06
